11/10/14 17:42:55.347: ERROR(20310): Not supported Shading Language version
11/10/14 17:42:55.347: ERROR(20310): Not supported Shading Language version
11/10/14 17:42:55.347: ERROR(20310): Not supported Shading Language version
11/10/14 17:42:57.503: ERROR(20614): Name tag is invalid: GfxShaderManager:  tag='sPlainEasy', in function: get
11/10/14 17:42:57.519: ERROR(20614): Name tag is invalid: GfxShaderManager:  tag='sPlainEasy', in function: get
11/10/14 17:42:57.536: ERROR(20614): Name tag is invalid: GfxShaderManager:  tag='sPlainEasy', in function: get
11/10/14 17:42:57.553: ERROR(20614): Name tag is invalid: GfxShaderManager:  tag='sPlainEasy', in function: get
11/10/14 17:42:57.569: ERROR(20614): Name tag is invalid: GfxShaderManager:  tag='sPlainEasy', in function: get
11/10/14 17:42:57.586: ERROR(20614): Name tag is invalid: GfxShaderManager:  tag='sPlainEasy', in function: get
11/10/14 17:42:57.602: ERROR(20614): Name tag is invalid: GfxShaderManager:  tag='sPlainEasy', in function: get
11/10/14 17:42:57.619: ERROR(20614): Name tag is invalid: GfxShaderManager:  tag='sPlainEasy', in function: get
11/10/14 17:42:57.636: ERROR(20614): Name tag is invalid: GfxShaderManager:  tag='sPlainEasy', in function: get
11/10/14 17:42:57.654: ERROR(20614): Name tag is invalid: GfxShaderManager:  tag='sPlainEasy', in function: get
11/10/14 17:42:57.669: ERROR(20614): Name tag is invalid: GfxShaderManager:  tag='sPlainEasy', in function: get
11/10/14 17:42:57.686: ERROR(20614): Name tag is invalid: GfxShaderManager:  tag='sPlainEasy', in function: get
11/10/14 17:42:57.703: ERROR(20614): Name tag is invalid: GfxShaderManager:  tag='sPlainEasy', in function: get
11/10/14 17:42:57.719: ERROR(20614): Name tag is invalid: GfxShaderManager:  tag='sPlainEasy', in function: get
11/10/14 17:42:57.736: ERROR(20614): Name tag is invalid: GfxShaderManager:  tag='sPlainEasy', in function: get
11/10/14 17:42:57.752: ERROR(20614): Name tag is invalid: GfxShaderManager:  tag='sPlainEasy', in function: get
11/10/14 17:42:57.769: ERROR(20614): Name tag is invalid: GfxShaderManager:  tag='sPlainEasy', in function: get
11/10/14 17:42:57.786: ERROR(20614): Name tag is invalid: GfxShaderManager:  tag='sPlainEasy', in function: get
11/10/14 17:42:57.802: ERROR(20614): Name tag is invalid: GfxShaderManager:  tag='sPlainEasy', in function: get
11/10/14 17:42:57.819: ERROR(20614): Name tag is invalid: GfxShaderManager:  tag='sPlainEasy', in function: get
11/10/14 17:42:57.836: ERROR(20614): Name tag is invalid: GfxShaderManager:  tag='sPlainEasy', in function: get
11/10/14 17:42:57.853: ERROR(20614): Name tag is invalid: GfxShaderManager:  tag='sPlainEasy', in function: get
11/10/14 17:42:57.871: ERROR(20614): Name tag is invalid: GfxShaderManager:  tag='sPlainEasy', in function: get
11/10/14 17:42:57.886: ERROR(20614): Name tag is invalid: GfxShaderManager:  tag='sPlainEasy', in function: get
11/10/14 17:42:57.902: ERROR(20614): Name tag is invalid: GfxShaderManager:  tag='sPlainEasy', in function: get
11/10/14 17:42:57.919: ERROR(20614): Name tag is invalid: GfxShaderManager:  tag='sPlainEasy', in function: get
11/10/14 17:42:57.936: ERROR(20614): Name tag is invalid: GfxShaderManager:  tag='sPlainEasy', in function: get
11/10/14 17:42:57.952: ERROR(20614): Name tag is invalid: GfxShaderManager:  tag='sPlainEasy', in function: get
11/10/14 17:42:57.969: ERROR(20614): Name tag is invalid: GfxShaderManager:  tag='sPlainEasy', in function: get
11/10/14 17:42:57.986: ERROR(20614): Name tag is invalid: GfxShaderManager:  tag='sPlainEasy', in function: get
11/10/14 17:42:57.003: ERROR(20614): Name tag is invalid: GfxShaderManager:  tag='sPlainEasy', in function: get
